date,init time,end time,elapsed time
3/6/2013,4:30:00,8:45:00,4:15:00
3/6/2013,11:30:00,14:30:00,3:00:00
3/6/2013,21:16:00,23:30:00,2:14:00
3/7/2013,3:30:00,8:45:00,5:15:00
3/7/2013,15:30:00,16:15:00,0:45:00
3/7/2013,18:30:00,21:00:00,2:30:00
3/8/2013,1:00:00,9:45:00,8:45:00
3/8/2013,12:10:00,14:45:00,2:35:00
3/9/2013,4:00:00,5:00:00,1:00:00
3/9/2013,8:00:00,9:30:00,1:30:00
3/10/2013,0:30:00,3:30:00,3:00:00
3/10/2013,5:30:00,9:30:00,4:00:00
3/11/2013,0:20:00,3:30:00,3:10:00
3/11/2013,5:00:00,9:25:00,4:25:00
3/11/2013,17:00:00,18:00:00,1:00:00
3/11/2013,21:14:00,22:30:00,1:16:00
3/12/2013,4:46:00,6:02:00,1:16:00
3/12/2013,15:01:00,16:16:00,1:15:00
3/13/2013,0:13:00,2:44:00,2:31:00
3/13/2013,5:30:00,8:55:00,3:25:00
3/13/2013,13:30:00,14:00:00,0:30:00
3/14/2013,1:51:00,6:47:00,4:56:00
3/14/2013,17:24:00,18:45:00,1:21:00
3/15/2013,0:30:00,1:05:00,0:35:00
3/15/2013,1:10:00,7:25:00,6:15:00
3/16/2013,5:00:00,7:48:00,2:48:00
3/16/2013,9:33:00,11:09:00,1:36:00
3/16/2013,11:47:00,13:14:00,1:27:00
3/16/2013,19:56:00,23:02:00,3:06:00
3/17/2013,5:44:00,9:26:00,3:42:00
3/17/2013,17:10:00,19:35:00,2:25:00
3/18/2013,6:30:00,9:02:00,2:32:00
3/18/2013,16:04:00,17:51:00,1:47:00
3/18/2013,21:22:00,24:00:00,2:38:00
3/19/2013,0:00:00,1:25:00,1:25:00
3/19/2013,4:37:00,7:44:00,3:07:00
3/19/2013,18:26:00,18:40:00,0:14:00
3/20/2013,0:45:00,7:14:00,6:29:00
3/20/2013,9:30:00,10:00:00,0:30:00
3/20/2013,22:28:00,24:00:00,1:32:00
3/21/2013,0:00:00,1:48:00,1:48:00
3/21/2013,16:30:00,17:30:00,1:00:00
3/22/2013,0:45:00,3:48:00,3:03:00
3/22/2013,5:40:00,7:26:00,1:46:00
3/22/2013,14:01:00,14:36:00,0:35:00
3/22/2013,23:00:00,24:00:00,1:00:00
3/23/2013,4:00:00,6:00:00,2:00:00
3/23/2013,7:00:00,7:30:00,0:30:00
3/23/2013,23:03:00,24:00:00,0:57:00
3/24/2013,0:00:00,0:50:00,0:50:00
3/24/2013,1:00:00,2:00:00,1:00:00
3/24/2013,4:30:00,9:00:00,4:30:00
3/24/2013,14:00:00,15:32:00,1:32:00
3/25/2013,2:20:00,6:00:00,3:40:00
3/25/2013,7:30:00,9:30:00,2:00:00
3/25/2013,14:40:00,16:40:00,2:00:00
3/25/2013,15:00:00,19:00:00,4:00:00
3/26/2013,9:38:00,11:30:00,1:52:00
3/26/2013,19:44:00,21:31:00,1:47:00
3/27/2013,1:40:00,5:20:00,3:40:00
3/27/2013,7:40:00,8:50:00,1:10:00
3/27/2013,15:00:00,15:45:00,0:45:00
3/28/2013,0:16:00,7:38:00,7:22:00
3/29/2013,0:00:00,0:10:00,0:10:00
3/29/2013,1:00:00,4:30:00,3:30:00
3/29/2013,14:00:00,17:15:00,3:15:00
3/30/2013,1:00:00,5:00:00,4:00:00
3/30/2013,9:00:00,9:45:00,0:45:00
3/30/2013,22:52:00,24:00:00,1:08:00
3/31/2013,0:00:00,0:40:00,0:40:00
3/31/2013,4:58:00,8:45:00,3:47:00
3/31/2013,16:20:00,16:48:00,0:28:00
3/31/2013,20:11:00,20:54:00,0:43:00
4/1/2013,1:47:00,5:38:00,3:51:00
4/1/2013,11:10:00,11:30:00,0:20:00
4/1/2013,15:10:00,15:30:00,0:20:00
4/2/2013,1:28:00,5:37:00,4:09:00
4/3/2013,1:00:00,5:32:00,4:32:00
4/3/2013,12:30:00,13:00:00,0:30:00
4/3/2013,21:57:00,23:32:00,1:35:00
4/4/2013,3:25:00,3:55:00,0:30:00
4/4/2013,8:11:00,9:24:00,1:13:00
4/4/2013,12:45:00,13:00:00,0:15:00
4/4/2013,18:20:00,19:20:00,1:00:00
4/5/2013,0:13:00,3:44:00,3:31:00
4/5/2013,5:18:00,7:32:00,2:14:00
4/5/2013,22:00:00,23:57:00,1:57:00
4/6/2013,4:02:00,8:16:00,4:14:00
4/7/2013,3:00:00,9:00:00,6:00:00
4/7/2013,16:59:00,17:19:00,0:20:00
4/7/2013,23:30:00,24:00:00,0:30:00
4/8/2013,0:00:00,7:15:00,7:15:00
4/8/2013,11:30:00,13:00:00,1:30:00
4/8/2013,22:33:00,24:00:00,1:27:00
4/9/2013,0:00:00,3:05:00,3:05:00
4/9/2013,4:35:00,6:23:00,1:48:00
4/9/2013,6:43:00,8:19:00,1:36:00
4/9/2013,10:33:00,10:52:00,0:19:00
4/9/2013,13:35:00,14:57:00,1:22:00
4/9/2013,23:27:00,24:00:00,0:33:00
4/10/2013,0:00:00,1:29:00,1:29:00
4/10/2013,3:25:00,6:47:00,3:22:00
4/10/2013,10:00:00,10:30:00,0:30:00
4/10/2013,14:17:00,14:48:00,0:31:00
4/11/2013,1:00:00,7:00:00,6:00:00
4/11/2013,15:43:00,17:24:00,1:41:00
4/11/2013,23:10:00,24:00:00,0:50:00
4/11/2013,0:00:00,1:48:00,1:48:00
4/12/2013,3:12:00,8:00:00,4:48:00
4/13/2013,2:00:00,9:00:00,7:00:00
4/13/2013,18:55:00,19:28:00,0:33:00
4/14/2013,2:45:00,7:48:00,5:03:00